original_name,formatted_address,latitude,longitude,display_name,class,type,city_district
성내동,서울특별시 강동구 성내동,37.52998,127.12875,"성내동, 성내1동, 강동구, 서울특별시, 05390, 대한민국",place,quarter,서울특별시 강동구
평화동,경상남도 창원시 평화동,35.18661255,128.558417604484,"평화동, 마산합포구, 창원시, 경상남도, 대한민국",boundary,administrative,경상남도 창원시
남산동,부산광역시 금정구 남산동,35.2680875,129.0897851,"남산동, 금정구, 부산광역시, 대한민국",boundary,administrative,부산광역시 금정구
황금동,전라남도 광양시 황금동,34.9132611,127.6433442,"황금동, 광양시, 전라남도, 57769, 대한민국",place,quarter,전라남도 광양시
신음동,경상북도 김천시 신음동,36.1365416,128.1209411,"신음동, 김천시, 경상북도, 39547, 대한민국",place,quarter,경상북도 김천시
교동,강원특별자치도 속초시 교동,38.2031247,128.5823564,"교동, 속초시, 강원특별자치도, 대한민국",boundary,administrative,강원특별자치도 속초시
삼락동,부산광역시 사상구 삼락동,35.1837761,128.9791895,"삼락동, 사상구, 부산광역시, 46911, 대한민국",boundary,administrative,부산광역시 사상구
문당동,경상북도 김천시 문당동,36.1543431,128.0898014,"문당동, 김천시, 경상북도, 39524, 대한민국",place,quarter,경상북도 김천시
다수동,경상북도 김천시 다수동,36.1251087,128.0703026,"다수동, 김천시, 경상북도, 39629, 대한민국",place,quarter,경상북도 김천시
백옥동,경상북도 김천시 백옥동,36.1148233,128.0740755,"백옥동, 김천시, 경상북도, 39629, 대한민국",place,quarter,경상북도 김천시
부곡동,경기도 의왕시 부곡동,37.3237611,126.9568135991738,"부곡동, 의왕시, 경기도, 대한민국",boundary,administrative,경기도 의왕시
지좌동,경상북도 김천시 지좌동,36.1146441,128.1356233,"지좌동, 김천시, 경상북도, 39649, 대한민국",place,quarter,경상북도 김천시
덕곡동,대구광역시 동구 덕곡동,35.98988,128.6163,"덕곡동, 공산동, 동구, 대구광역시, 39856, 대한민국",place,quarter,대구광역시 동구
